"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14186","flipkart","chromium","2026-04-12","failed","2026-04-12","","allure.spec.ts","",""
"","7590","Handle child window and validate URL","chromium","2026-04-12","passed","2026-04-12","","allure.spec.ts","",""
